id,filename,pid,quantity
0,inserm-00851058.training.tei.xml,0,two decades
1,inserm-00851058.training.tei.xml,0,40 years
2,inserm-00851058.training.tei.xml,0,6 hours
3,inserm-00851058.training.tei.xml,0,several days
4,inserm-00851058.training.tei.xml,0,three
5,inserm-00851058.training.tei.xml,0,25 years
6,inserm-00851058.training.tei.xml,1,"1970""s"
7,inserm-00851058.training.tei.xml,1,one-quarter of a century
8,inserm-00851058.training.tei.xml,1,three
9,inserm-00851058.training.tei.xml,2,40 years
10,inserm-00851058.training.tei.xml,2,42km
11,inserm-00851058.training.tei.xml,2,2000
12,inserm-00851058.training.tei.xml,2,three
13,inserm-00851058.training.tei.xml,2,1800km
14,inserm-00851058.training.tei.xml,2,40km
15,inserm-00851058.training.tei.xml,2,84 km
16,inserm-00851058.training.tei.xml,2,1978
17,inserm-00851058.training.tei.xml,2,1700
18,inserm-00851058.training.tei.xml,2,1.5km
19,inserm-00851058.training.tei.xml,2,180km
20,inserm-00851058.training.tei.xml,2,1985
21,inserm-00851058.training.tei.xml,2,3.8km
22,inserm-00851058.training.tei.xml,2,7.6km
23,inserm-00851058.training.tei.xml,2,420 km
24,inserm-00851058.training.tei.xml,2,10km
25,inserm-00851058.training.tei.xml,2,38km
26,inserm-00851058.training.tei.xml,2,one of 25
27,inserm-00851058.training.tei.xml,2,360km
28,inserm-00851058.training.tei.xml,2,1989
29,inserm-00851058.training.tei.xml,2,12
30,inserm-00851058.training.tei.xml,2,"1980""s"
31,inserm-00851058.training.tei.xml,3,2000 and 2011
32,inserm-00851058.training.tei.xml,3,27 %
33,inserm-00851058.training.tei.xml,3,38 %
34,inserm-00851058.training.tei.xml,3,"1980""s"
35,inserm-00851058.training.tei.xml,4,27 %
36,inserm-00851058.training.tei.xml,4,17%
37,inserm-00851058.training.tei.xml,4,33%
38,inserm-00851058.training.tei.xml,4,1995
39,inserm-00851058.training.tei.xml,4,10%
40,inserm-00851058.training.tei.xml,4,161-km
41,inserm-00851058.training.tei.xml,4,20 %
42,inserm-00851058.training.tei.xml,4,"26%, 19% and 13%"
43,inserm-00851058.training.tei.xml,4,470
44,inserm-00851058.training.tei.xml,4,20 in 1981
45,inserm-00851058.training.tei.xml,4,13%
46,inserm-00851058.training.tei.xml,4,30 years
47,inserm-00851058.training.tei.xml,4,2010
48,inserm-00851058.training.tei.xml,4,1978
49,inserm-00851058.training.tei.xml,4,6%
50,inserm-00851058.training.tei.xml,4,2011
51,inserm-00851058.training.tei.xml,5,5-10%
52,inserm-00851058.training.tei.xml,5,two
53,inserm-00851058.training.tei.xml,7,"1990""s"
