7,S0019103512003533-5251,1,∼460 K
7,S0019103512003533-5251,1,440 ± 50 K
7,S0019103512003533-5251,1,(563–624) ± 30 K
7,S0019103512003533-5251,1,650 K
9,S0012821X12004384-1405,1,0%
9,S0012821X12004384-1405,1,80%
9,S0012821X12004384-1405,1,20
16,S0019103512004009-3962,1,8250 K
16,S0019103512004009-3962,1,1 μbar
16,S0019103512004009-3962,1,5–10 times higher
16,S0019103512004009-3962,1,twice as fast
18,S0016236113008041-3290,1,<1 ppm
18,S0016236113008041-3290,1,0.63 ppm
18,S0016236113008041-3290,1,0.51 ppm
18,S0016236113008041-3290,1,1000 ppm
18,S0016236113008041-3290,1,2000 ppm
20,S0012821X12004384-1302,1,total counts per gram
20,S0012821X12004384-1302,1,Figs. 4 and 5
20,S0012821X12004384-1302,1,DA1–DA5
20,S0012821X12004384-1302,1,PA1–PA4
20,S0012821X12004384-1302,1,five samples
20,S0012821X12004384-1302,1,"2619.60, 2617.35, 2617.44, 2614.73, and 2614.71 m"
20,S0012821X12004384-1302,1,negative δ13CTOC
20,S0012821X12004384-1302,1,Fig. 5a
23,S0022000014000026-18167,1,O(nlogn)
23,S0022000014000026-18167,1,7 (1-bit) wires
23,S0022000014000026-18167,1,O(n)
23,S0022000014000026-18167,1,3f+1 nodes
23,S0022000014000026-18167,1,O(logn)
23,S0022000014000026-18167,1,metastability
23,S0022000014000026-18167,1,Ω(n2) links
23,S0022000014000026-18167,1,bounded or large clocks
24,S0016236113008041-3269,1,1000 ppm
24,S0016236113008041-3269,1,2000 ppm
24,S0016236113008041-3269,1,0 ppm
24,S0016236113008041-3269,1,1000 ppm
24,S0016236113008041-3269,1,2000 ppm
24,S0016236113008041-3269,1,0 ppm
24,S0016236113008041-3269,1,1000 ppm
24,S0016236113008041-3269,1,2000 ppm
24,S0016236113008041-3269,1,0 ppm
24,S0016236113008041-3269,1,9.4 ppm
24,S0016236113008041-3269,1,14.1 ppm
24,S0016236113008041-3269,1,66.8 ppm
26,S0019103513005058-4210,1,4.3 × 10−8 wt. %
26,S0019103513005058-4210,1,4.0 × 10−10 wt. %
26,S0019103513005058-4210,1,0.4–0.6 wt. %
26,S0019103513005058-4210,1,1:60
26,S0019103513005058-4210,1,1:1000
28,S0019103512003995-3548,1,1 μbar
28,S0019103512003995-3548,1,8250 K
28,S0019103512003995-3548,1,6000 K
28,S0019103512003995-3548,1,"11,000 K"
30,S0021979713004438-1969,1,3.91 nm
30,S0021979713004438-1969,1,500 nm × 500 nm
30,S0021979713004438-1969,1,FeCl3 solution
30,S0021979713004438-1969,1,Fe2O3
30,S0021979713004438-1969,1,Mefp-1 film
30,S0021979713004438-1969,1,Fe3+
32,S0012821X13007309-1482,1,17.7 m
32,S0012821X13007309-1482,1,12 m
32,S0012821X13007309-1482,1,12.6 m
32,S0012821X13007309-1482,1,1 to 20 cm
32,S0012821X13007309-1482,1,93.90±0.15 Ma
32,S0012821X13007309-1482,1,base of bed 86
35,S0019103511004994-1511,1,20 keV
35,S0019103511004994-1511,1,several tens of MeV
35,S0019103511004994-1511,1,86 s
35,S0019103511004994-1511,1,77.45°
43,S0016236113008041-890,1,4.5 kg
43,S0016236113008041-890,1,6 kg
43,S0016236113008041-890,1,13 kg
48,S0021979713004438-1907,1,10 min
48,S0021979713004438-1907,1,10 μm
50,S0019103512003995-1910,1,1%
50,S0019103512003995-1910,1,37%
50,S0019103512003995-1910,1,9 ± 6%
50,S0019103512003995-1910,1,10–11 days
53,S0021979713004438-2148,1,10 μM
53,S0021979713004438-2148,1,15 min
53,S0021979713004438-2148,1,Fe3+
53,S0021979713004438-2148,1,1550 cm−1
53,S0021979713004438-2148,1,1536 cm−1
53,S0021979713004438-2148,1,1485 cm−1
53,S0021979713004438-2148,1,1260 cm−1
53,S0021979713004438-2148,1,1423 cm−1
54,S0019103511004994-1565,1,±10 min
54,S0019103511004994-1565,1,solid line
54,S0019103511004994-1565,1,"C1, C3, E0, E6, BE, and G1"
54,S0019103511004994-1565,1,off scale for E13
54,S0019103511004994-1565,1,56–100 keV
57,S0019103512004009-3825,1,50%
57,S0019103512004009-3825,1,"11,500 K"
57,S0019103512004009-3825,1,1.5Rp
57,S0019103512004009-3825,1,0.3 nbar
57,S0019103512004009-3825,1,0.1
57,S0019103512004009-3825,1,1.4Rp
57,S0019103512004009-3825,1,0.5 nbar
57,S0019103512004009-3825,1,1.9Rp
57,S0019103512004009-3825,1,0.1 nbar
