"0","PR06014617-CC","0","Effects of carrier concentration on the superfluid density of high-T c cuprates","0"
"1","PR06014617-CC","1","The absolute values and temperature, T, dependence of the in-plane magnetic penetration depth, λ ab , of La2−xSrxCuO4 and HgBa2CuO 4+δ have been measured as a function of carrier concentration. We find that the superfluid density, ρs, changes substantially and systematically with doping. The values of ρs(0) are closely linked to the available low energy spectral weight as determined by the electronic entropy just above Tc and the initial slope of ρs(T )/ρs(0) increases rapidly with carrier concentration. The results are discussed in the context of a possible relationship between ρs and the normal-state (or pseudo) energy gap.","0"
"2","PR06014617-CC","2","Superconductivity arises from the binding of electrons into Cooper pairs thereby forming a superfluid with a superconducting energy gap, ∆, in the single-particle ex- citation spectrum. In high-temperature superconductors (HTS) ∆ has essentially d x 2 −y 2 symmetry in k-space with ∆ k = ∆ 0 cos(2φ) , where φ = arctan(k y /k x ) and ∆ 0 is the superconducting gap amplitude which will in gen- eral be φ dependent. Changes in carrier concentration affect the superconducting and normal state (NS) properties of HTS and there is evidence that in addition to ∆ k there is a normal state (or pseudo) gap, ∆ N , in the NS energy excitation spectrum in under-and optimally doped samples which increases with decreasing doping. The maximum gap amplitude shows little vari- ation with underdoping even though T c is reduced , in disagreement with the standard mean-field Bardeen- Cooper-Schrieffer (BCS) theory. This unusual behaviour is probably linked to the presence of ∆ N . However, fundamental problems such as the origin of ∆ N and its possible effect on the superfluid density, ρ s , have not been clearly resolved experimentally or theoretically.","0"
"3","PR06014617-CC","3","The physical quantity most directly associated with ρ s is the magnetic penetration depth λ. Appropriate systems to investigate ρ s as a function of doping are La 2−x Sr x CuO 4 and HgBa 2 CuO 4+δ . Both have a sim- ple crystal structure with one CuO 2 plane per unit cell, can have their carrier concentration controlled, and there is experimental evidence suggesting the presence of ∆ N which closes with doping . Here we report in-plane penetration depth, λ ab , measurements for high-quality La 2−x Sr x CuO 4 (LSCO) with x = 0.10, 0.15, 0.20, 0.22, 0.24 measured by the ac-susceptibility (acs) and muon spin relaxation (µSR) techniques and for HgBa 2 CuO 4+δ (Hg-1201) with δ = 0.10, 0.37 measured only by µSR. We find systematic changes in ρ s with carrier concentration and a correlation with ∆ N .","0"
"4","PR06014617-CC","4","Single-phase polycrystalline samples of LSCO were prepared in Cambridge using solid-state reaction proce- dures. No other phases were detected by powder x-ray diffraction and the phase purity is thought to be bet- ter than 1%. Lattice parameters were in good agreement with published work . High field magnetic susceptibil- ity measurements showed no signatures of excess param- agnetic centres. The measured T c 's are 30, 37.7, 36, 27.5 and 20.3 K for x = 0.10, 0.15, 0.20, 0.22 and 0.24, re- spectively. These values are also in very good agreement with previous measurements . µSR experiments as a function of T were performed on the same powders for x = 0.10 and 0.15. Although unoriented powders can be used to determine λ ab by µSR , the acs technique re- quires the powders to be magnetically aligned . To eliminate grain agglomerates, powders were ball-milled in ethanol and dried after adding a defloculant. Scan- ning electron microscopy confirmed the absence of grain boundaries and showed that the average grain diameter was ∼ 5µm. The powders were mixed with a 5 min curing epoxy and aligned in a static field of 12T at room tem- perature. Debye-Scherrer x-ray scans showed that ∼ 90% of the grains were aligned within ∼ 2.0 o . Low-field sus- ceptibility measurements were performed at an ac-field H ac = 1 G rms (parallel to the c-axis) and a frequency f = 333 Hz down to 1.2K. Details of the application of London's model for deriving λ from the measured sus- ceptibility can be found in an earlier publication . Transverse-field-cooled µSR experiments were performed at 400 Gauss in the ISIS, Rutherford-Appleton Labora- tory. The field produced a flux-line lattice whose field distribution was probed by muons. The depolarisation rate, σ(T ), of the initial muon spin is proportional to λ ab −2 (T ) . Checks were made to ensure that the values of λ ab obtained were independent of the applied field. The Hg-1201 [δ = 0.10 (T c = 60K) and 0.37 (T c = 35K)] samples were prepared in Houston by the con- trolled solid-vapour reaction technique . The values of λ ab (0) derived from the acs data for LSCO are 0.28, 0.26, 0.197, 0.193, 0.194 µm for x = p = 0.10, 0.15, 0.20, 0.22 and 0.24, respectively. Here p is the hole content per planar copper atom. The esti- mated error for λ ab (0) obtained by the acs technique is ±15% and within this uncertainty the λ ab (0) values agree with the µSR measurements. We thus find that λ −2 ab (0) is strongly suppressed on the underdoped side, including optimal doping, but there is no suppression with increas- ing overdoping (up to p = 0.24) in contrast to reports for Tl 2 Ba 2 CuO 6+δ. Values of λ ab (0) as obtained by µSR for Hg-1201 are 0.194 and 0.148 µm for δ = 0.10 and 0.37, respectively. We note that δ = 0.10 and 0.37 in Hg-1201 correspond to p = 0.075 and 0.22, respectively .","1"
"5","PR06014617-CC","5","The T-dependence of λ ab for LSCO is shown in Fig. (a) as a plot of [1/λ ab (T )] 2 ∝ ρ s (T ). Data for x = 0.10 and 0.15 obtained by µSR are also included for compari- son. Overall there is good agreement between the results from the two techniques. From the acs data we find that the initial linear term in λ ab (T ), characteristic of a clean d-wave superconductor, persists up to the highest doping measured (x = 0.24) in agreement with electronic specific heat studies on polycrystalline LSCO samples from the same batch as those studied here . Figure de- picts data for Hg-1201 powders measured only by µSR, including data from Ref. for a Hg-1201 sample (also from Houston) with δ = 0.154 (p = 0.17). As in LSCO, we observe a change in the shape of σ(T ) ∝ [1/λ ab (T )] 2 of Hg-1201 with doping. Namely, in the underdoped region [1/λ ab (T )] 2 shows a more pronounced curvature. Taking the slope of the low-T linear term to be proportional to ρ s (0)/∆ 0 the observed trend of [1/λ ab (T )] 2 with p would imply that ∆ 0 remains approximately constant in the un- derdoped region and decreases rapidly with overdoping.","0"
"6","PR06014617-CC","6","Figure shows a comparison of the present results for LSCO with specific heat data taken on the same samples where ∆ N was observed for x = p < 0.19. In the inset we observe a good correlation between [1/λ ab (0)] 2 and [S/T(T c ) -S/T(2K)] both plotted versus Sr con- tent x, where S(T) is the electronic entropy obtained by integrating the electronic specific heat coefficient γ(T) from 0 to T. The quantity [S/T(T c ) -S/T(2K)] is a measure of the energy-dependent NS electronic density of states (DOS), g n (E), averaged over ±2k B T c around the Fermi energy E F . The effect of an energy -dependent DOS on the London penetration depth λ L or ρ s (0) is not usually considered in standard theory which implic- itly assumes a constant DOS and a parabolic E( k) dis- persion relation. It has been argued elsewhere that ρ s (0) = 4π 2 v x 2 g n (E) /e 2 where the average is over an (anisotropic) energy shell E F ± ∆ 0 . Note that this result agrees with the standard expression for the NS conduc- tivity and the usual relation between λ L (0) and the real part of the frequency-dependent electronic conductivity in the normal and superconducting states σ 1 n (ω) and σ s 1 (ω), respectively. Namely, λ L (0) is determined by the area under the [σ 1 n (ω) − σ 1 s (ω)] curve in the frequency range 0 < hω/2π < 2∆ 0 . Thus the inset to Fig. sug- gests that the strong decrease of ρ s (0) with x from x = 0.20 to 0.10 is related to the suppression of spectral weight with energy range E F ± ∆ 0 due to the presence of ∆ N .","0"
"7","PR06014617-CC","7","The main panel in Fig. shows a correlation be- tween the doping dependence of the initial linear terms of λ ab (T ) and the low-T specific heat coefficient γ, both quantities being related to the number of excited quasi- particles n e (T). For low values of x, n e (T=10) is much smaller than expected from the T c value and this proba- bly implies that the average value of ∆ 0 (φ) is significantly larger than T c . The rapid rise above x = 0.20 may arise from the combined effects of the closure of ∆ N at x = 0.19 , the decreasing T c plus the fact that for LSCO there is significant pile up of states near E F in the over- doped region 0.20 < x < 0.35.","0"
"8","PR06014617-CC","8","In Fig. we present the LSCO acs data as [λ ab (0)/λ ab (T )] 2 versus T/T c and compare the data with the mean-field calculation for a d-wave weak-coupled BCS superconductor with a cylindrical Fermi surface (FS) which gives ∆ 0 /T c ∼ 2.14 . There appears to be a systematic deviation of the data from the weak- coupling T-dependence with a greater (weaker) curvature on the underdoped (overdoped) side. We note however, that particularly in the overdoped samples there is pos- itive curvature near T c which may arise from a small amount of doping inhomogeneity giving a distribution of T c values in this region where dT c /dp is maximal . The effect of this is to rescale the curves with a slightly lower value of T c . We have modelled ρ s (T ) using the d-wave T-dependence and a normal distribution of T c values with standard deviation of 3%, 5% and 9% for x = 0.20, 0.22 and 0.24, respectively. These corrections, plotted in Fig. , bring the curves for x = 0.20 and 0.22 into good agreement with weak-coupling BCS with ∆ 0 /T c ∼ 2.14. Similar deductions, as to the magnitude and p-dependence of ∆ 0 /T c , were made in the specific heat studies on these overdoped samples . However, the x = 0.24 sample still shows significant deviations that possibly reflect changes in the electronic structure. This would not be surprising given the changes in the FS with the rapid crossover from hole-like to electron-like states near x = 0.27 . We note that the data for x = 0.24 is in excellent agreement with a weak-coupling d-wave calculation for a rectangular FS .","0"
"9","PR06014617-CC","9","In contrast to the overdoped samples the optimal and underdoped samples [Fig. ], both possessing very small rounding near T c, diverge significantly from the weak-coupling curve and in the opposite direction. We note that accounting for inhomogeneities in these sam- ples will, if anything, move the curves even further from the weak-coupling BCS fit.","0"
